Coordenada,Origen,Destino,Tipo,Cruce, pago 
2901985-4,BASE SOTELO CHIHUAHUA,FOKKER,MDC-01,, $125.00 
2902754-5,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,PTT-00,, $-   
2902935-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,LOC-01,, $125.00 
2902754-4,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,PTT-00,, $-   
2902754-3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,PTT-00,, $-   
2902664-1,GYSA  CDJ,PUENTE  ZARAGOZA,LOC-02,PUENTE ZARAGOZA, $250.00 
2902675-4,PACTIV DE MEXICO S. DE R.L DE C.V.,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2902385-2,RIO BRAVO INTERNACIONAL,PRECOS ZARAGOZA,FAL-00,PUENTE ZARAGOZA, $250.00 
2902626-1,EASTLAKE LOGISTICS PARK,13699 GATEWAY WEST,PTT-00,, $-   
2902662-3,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),PTT-00,, $-   
2902385-3,RIO BRAVO INTERNACIONAL,FLETES SOTELO,PTT-00,PUENTE AMERICAS, $-   
2902614-2,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",GYSA JUAREZ JDC,FAL-00,, $125.00 
2902675-1,BASE SOTELO CHIHUAHUA,PACTIV DE MEXICO S. DE R.L DE C.V.,LOC-01,, $125.00 
2902697-2,CHAMPLAIN 9500 PAN AMERICAN,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2902394-10,GYSA JUAREZ 2,GYSA JUAREZ JDC,MDC-01,, $250.00 
2902669-2,ARNPRIOR AEROSPACE CHIHUAHUA,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2902697-1,18 LEIGH FISHER,CHAMPLAIN 9500 PAN AMERICAN,LOC-03,, $250.00 
2902851-1,FLETES SOTELO,KORIMA / KUNA LOOP,E-VACIO,PUENTE AMERICAS, $250.00 
2902394-9,GYSA JUAREZ JDC,GYSA JUAREZ 2,MDC-01,, $250.00 
2902278-5,PUENTE  ZARAGOZA,KORIMA / KUNA LOOP,MDC-01,, $250.00 
2902696-1,EASTLAKE LOGISTICS PARK,18 LEIGH FISHER,LOC-03,, $250.00 
2902695-1,ELLIOT TAPE 28 WALTER JONES,"EAST WEST EL PASO, LLC",LOC-03,, $125.00 
2902590-2,THUASNE MX,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2902623-1,GYSA  CDJ,GYSA JUAREZ 4,LOC-01,, $125.00 
2902669-1,BASE SOTELO CHIHUAHUA,ARNPRIOR AEROSPACE CHIHUAHUA,LOC-01,, $125.00 
2902694-1,DELFINGEN US-TEXAS,ELLIOT TAPE 28 WALTER JONES,LOC-03,, $250.00 
2902611-1,YARDA ARIES,MESILLA VALLEY TRANSPORTATION,PTT-00,, $-   
2902590-1,BASE SOTELO CHIHUAHUA,THUASNE MX,LOC-01,, $125.00 
2902590-6,EMERALD PASS DR.,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2902616-1,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,LOC-01,, $125.00 
2902585-1,ARIES WORLDWIDE LOGISTICS C/O,MESILLA VALLEY TRANSPORTATION,PTT-00,, $-   
2902741-1,FLETES SOTELO,18 LEIGH FISHER,E-VACIO,PUENTE ZARAGOZA, $375.00 
2902396-9,GYSA JUAREZ 3,GYSA JUAREZ 2,MDC-01,, $125.00 
2902542-1,P Y H TRAILER ENTERPRISES INC,MESILLA VALLEY TRANSPORTATION,I-VACIO,PUENTE ZARAGOZA, $125.00 
2902830-1,BASCULA LA POSTA,LEAR SAN LORENZO,LOC-01,, $125.00 
2902829-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,BASCULA LA POSTA,LOC-01,, $250.00 
2901988-8,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2902298-5,BASE SOTELO CHIHUAHUA,SAFRAN CABIN,MDC-01,, $125.00 
2902469-3,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),MDC-01,, $125.00 
2902528-3,SAFRAN PLANTA 5 / PSM / POWER SWITCHES MÉXICO,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2902450-1,SMTC PULLMAN,18 LEIGH FISHER,PTT-00,, $-   
2902298-2,13699 GATEWAY WEST,GGLOBAL,PTT-00,, $-   
